REGION,AGE,RACE,RACED,HISPAN,HISPAND,EDUCD,DEGFIELD,CIT,COW,MAR,MIL,PAP,SEX,HICOV,INDP,INCWAGE,POVPIP,POWSP,SOCP,PINCP
3,72,1,100,0,0,63,0,1,B,2,4,0,2,1,BBBB,0,72,BBB,BBBBBB,8400
3,63,1,100,0,0,71,0,1,1,1,4,0,1,1,2270,0,408,BBB,194031,17700
3,59,1,100,0,0,71,0,1,4,1,4,0,2,1,7870,45000,408,BBB,436010,48200
3,23,2,200,0,0,101,13,1,1,5,4,0,2,1,5580,20000,158,1,411011,20000
3,19,1,100,0,0,71,0,1,B,5,4,0,2,1,BBBB,0,0,BBB,BBBBBB,0
3,20,1,100,0,0,71,0,1,B,5,4,0,2,1,BBBB,0,0,BBB,BBBBBB,0
3,19,1,100,0,0,71,0,1,B,5,4,0,2,1,BBBB,0,0,BBB,BBBBBB,0
3,89,1,100,0,0,25,0,1,B,2,2,0,1,1,BBBB,0,157,BBB,BBBBBB,18400
3,60,1,100,0,0,101,13,1,4,1,4,0,1,1,9380,66000,501,1,151121,66000
3,56,1,100,0,0,114,62,1,4,1,4,0,2,1,7380,115000,501,1,113021,115000
3,29,1,100,0,0,101,61,1,1,1,4,0,1,1,8190,50000,398,1,291141,50000
3,29,1,100,0,0,63,0,1,1,1,4,0,2,1,5070,15000,398,1,292050,15000
3,57,1,100,0,0,81,0,1,B,5,4,0,2,1,BBBB,0,135,BBB,BBBBBB,17000
3,53,1,100,0,0,64,0,1,B,5,4,0,1,2,BBBB,0,0,BBB,BBBBBB,0
3,53,1,100,0,0,65,0,3,1,1,4,0,2,1,6990,39000,483,1,131030,39000
3,53,1,100,0,0,50,0,1,1,1,4,0,1,1,7690,40000,483,13,37201X,40000
3,66,1,100,0,0,101,23,1,6,1,4,0,1,1,8880,0,432,BBB,517021,16800
3,66,1,100,0,0,114,23,1,3,1,4,0,2,1,7860,0,432,BBB,252020,46200
3,94,1,100,0,0,71,0,1,B,2,4,0,2,1,BBBB,0,294,BBB,BBBBBB,34300
3,45,1,100,0,0,71,0,1,5,1,2,0,1,1,9590,28000,298,1,532010,29000
3,42,1,100,0,0,81,0,1,4,1,4,0,2,1,7860,46000,298,1,292061,46000
3,21,1,100,0,0,71,0,1,B,5,4,0,1,1,BBBB,0,298,BBB,BBBBBB,0
3,63,1,100,0,0,40,0,1,B,1,4,0,1,1,BBBB,0,292,BBB,BBBBBB,10400
3,60,1,100,0,0,63,0,1,1,1,4,0,2,1,6890,37400,292,1,439022,37400
3,18,1,100,0,0,63,0,1,1,5,4,0,1,1,6380,3500,BBB,BBB,435071,3500
3,18,1,100,0,0,65,0,1,B,5,4,0,1,1,BBBB,0,BBB,BBB,BBBBBB,0
3,18,1,100,0,0,71,0,1,B,5,4,0,1,1,BBBB,0,BBB,BBB,BBBBBB,5000
3,83,2,200,0,0,63,0,1,B,2,4,0,1,1,BBBB,0,BBB,BBB,BBBBBB,10100
3,81,1,100,0,0,114,53,1,B,2,4,0,2,1,BBBB,0,BBB,BBB,BBBBBB,18000
3,49,2,200,0,0,71,0,1,B,5,4,0,1,2,BBBB,0,BBB,BBB,BBBBBB,0
3,23,1,100,0,0,71,0,1,B,5,4,0,2,1,BBBB,0,BBB,BBB,BBBBBB,0
3,19,1,100,0,0,71,0,1,2,5,4,0,2,1,8560,800,BBB,BBB,272020,800
3,72,1,100,0,0,14,0,1,B,5,4,0,1,1,BBBB,0,BBB,BBB,BBBBBB,7900
3,67,1,100,0,0,114,24,1,B,5,4,0,1,1,BBBB,0,102,BBB,BBBBBB,11900
3,23,2,200,0,0,65,0,1,1,5,4,0,2,1,8680,8000,63,BBB,351012,8000
